+-----------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------+-----------------+
| Name                                          | Description                                                                                                                                               | Downloads (total=3505206980) | MaxVersion      |
+-----------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------+-----------------+
| anon-csv-cli                                  | A tool to anonymise CSV files, providing various options to substitute real data with plausable fake data.                                                | 8327                         | 1.0.4           |
| cargo-diet                                    | Make your crate lean by computing size-optimal include directives for Cargo manifests                                                                     | 25834                        | 1.4.1           |
| cargo-smart-release                           | Cargo subcommand for fearlessly releasing crates in workspaces.                                                                                           | 73333                        | 0.21.13         |
| crates-index                                  | Library for retrieving and interacting with the crates.io index                                                                                           | 8469604                      | 3.14.2          |
| crates-index-diff                             | Learn what's changed in the crates.io index                                                                                                               | 143176                       | 31.0.1          |
| crates-io-cli                                 | Interact with crates.io from the command-line                                                                                                             | 37135                        | 4.0.3           |
| criner                                        | a platform for resumable mining of crates.io for knowledge and information                                                                                | 13174                        | 0.4.1           |
| criner-cli                                    | A command-line interface for the 'Criner' crates mining platform                                                                                          | 10953                        | 0.4.1           |
| criner-waste-report                           | Determine include directives for Cargo.toml files to slim down a crate                                                                                    | 17482                        | 0.1.6           |
| crosstermion                                  | utilities for `crossterm`, without ties to `termion`                                                                                                      | 2527154                      | 0.16.0          |
| dua-cli                                       | A tool to conveniently learn about the disk usage of directories, fast!                                                                                   | 249618                       | 2.44.0          |
| dua-core                                      | Fast parallel filesystem traversal iterators                                                                                                              | 13112                        | 3.3.1           |
| failure-tools                                 | Various tools to be used in conjunction with the 'failure' crate.                                                                                         | 16327                        | 4.0.5           |
| flate2                                        | DEFLATE compression and decompression exposed as Read/BufRead/Write streams.                                                                              | 653223115                    | 1.1.10          |
|                                               | Supports miniz_oxide and multiple zlib implementations. Supports zlib, gzip,                                                                              |                              |                 |
|                                               | and raw deflate streams.                                                                                                                                  |                              |                 |
| fs-utils                                      | Utilities to help working with the filesytem                                                                                                              | 480802                       | 1.1.4           |
| git-actor                                     | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 491104                       | 0.17.2          |
| git-attributes                                | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 200045                       | 0.8.3           |
| git-bitmap                                    | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 175601                       | 0.2.2           |
| git-chunk                                     | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 178204                       | 0.4.2           |
| git-command                                   | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 139148                       | 0.2.4           |
| git-commitgraph                               | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 43321                        | 0.13.1          |
| git-config                                    | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 535698                       | 0.16.2          |
| git-config-value                              | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 220823                       | 0.10.2          |
| git-credentials                               | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 162828                       | 0.9.2           |
| git-date                                      | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 405352                       | 0.4.3           |
| git-diff                                      | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 279254                       | 0.26.2          |
| git-discover                                  | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 213644                       | 0.13.1          |
| git-features                                  | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 625399                       | 0.26.5          |
| git-fetchhead                                 | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 2710                         | 0.1.0           |
| git-filter                                    | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 2806                         | 0.1.0           |
| git-glob                                      | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 383326                       | 0.5.4           |
| git-hash                                      | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 726698                       | 0.10.3          |
| git-hashtable                                 | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 81986                        | 0.1.2           |
| git-index                                     | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 223659                       | 0.12.4          |
| git-lock                                      | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 411576                       | 3.0.3           |
| git-mailmap                                   | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 167853                       | 0.9.3           |
| git-note                                      | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 2817                         | 0.1.0           |
| git-object                                    | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 497279                       | 0.26.2          |
| git-odb                                       | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 313696                       | 0.41.0          |
| git-pack                                      | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 281518                       | 0.31.0          |
| git-packetline                                | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 141457                       | 0.14.3          |
| git-path                                      | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 405807                       | 0.7.2           |
| git-pathspec                                  | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 2822                         | 0.1.0           |
| git-prompt                                    | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 140119                       | 0.3.3           |
| git-protocol                                  | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 165328                       | 0.26.4          |
| git-quote                                     | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 179099                       | 0.4.2           |
| git-rebase                                    | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 2773                         | 0.1.0           |
| git-ref                                       | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 476276                       | 0.24.1          |
| git-refspec                                   | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 169247                       | 0.7.3           |
| git-repository                                | This crate is now named 'gix' and not available under this name anymore                                                                                   | 277083                       | 0.35.0          |
| git-revision                                  | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 207166                       | 0.10.4          |
| git-sec                                       | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 383594                       | 0.6.3           |
| git-sequencer                                 | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 2847                         | 0.1.0           |
| git-submodule                                 | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 2837                         | 0.1.0           |
| git-tempfile                                  | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 440273                       | 3.0.3           |
| git-testtools                                 | Shared code for gitoxide crates to facilitate testing                                                                                                     | 30997                        | 0.10.0          |
| git-tix                                       | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 2805                         | 0.1.0           |
| git-transport                                 | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 166998                       | 0.25.5          |
| git-traverse                                  | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 279985                       | 0.22.2          |
| git-tui                                       | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 2978                         | 0.1.0           |
| git-url                                       | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 281089                       | 0.13.3          |
| git-validate                                  | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 508535                       | 0.7.3           |
| git-worktree                                  | Please use `gix-<thiscrate>` instead ('git' -> 'gix')                                                                                                     | 211308                       | 0.12.3          |
| github-star-counter                           | A tool to query direct (and indirect) stars of a GitHub user or organizations                                                                             | 8606                         | 1.1.4           |
| gitoxide                                      | A command-line application for interacting with git repositories                                                                                          | 110580                       | 0.58.0          |
| gitoxide-core                                 | The library implementing all capabilities of the gitoxide CLI                                                                                             | 120994                       | 0.61.1          |
| gix                                           | Interact with git repositories just like git would                                                                                                        | 44836523                     | 0.87.1          |
| gix-actor                                     | A way to identify git actors                                                                                                                              | 51618239                     | 0.42.0          |
| gix-archive                                   | archive generation from of a worktree stream                                                                                                              | 12233764                     | 0.36.1          |
| gix-attributes                                | A crate of the gitoxide project dealing .gitattributes files                                                                                              | 43285845                     | 0.35.0          |
| gix-bitmap                                    | A crate of the gitoxide project dedicated implementing the standard git bitmap format                                                                     | 41445660                     | 0.4.0           |
| gix-blame                                     | A crate of the gitoxide project dedicated to implementing a 'blame' algorithm                                                                             | 4867418                      | 0.17.1          |
| gix-chunk                                     | Interact with the git chunk file format used in multi-pack index and commit-graph files                                                                   | 42236754                     | 0.8.0           |
| gix-command                                   | A crate of the gitoxide project handling internal git command execution                                                                                   | 42309709                     | 0.10.1          |
| gix-commitgraph                               | Read-only access to the git commitgraph file format                                                                                                       | 45014591                     | 0.39.0          |
| gix-config                                    | A git-config file parser and editor from the gitoxide project                                                                                             | 50982268                     | 0.60.0          |
| gix-config-value                              | A crate of the gitoxide project providing git-config value parsing                                                                                        | 50818500                     | 0.19.1          |
| gix-credentials                               | A crate of the gitoxide project to interact with git credentials helpers                                                                                  | 33448958                     | 0.40.0          |
| gix-date                                      | A crate of the gitoxide project parsing dates the way git does                                                                                            | 51894003                     | 0.16.0          |
| gix-diff                                      | Calculate differences between various git objects                                                                                                         | 44903263                     | 0.67.1          |
| gix-dir                                       | A crate of the gitoxide project dealing with directory walks                                                                                              | 21800182                     | 0.29.1          |
| gix-discover                                  | Discover git repositories and check if a directory is a git repository                                                                                    | 45237670                     | 0.55.0          |
